scenario,time,reachable_fraction,mean_path_cost,max_path_cost,network_efficiency
intermediate,29,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,30,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,31,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,32,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,33,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,34,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,35,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,36,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,37,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,38,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,39,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,40,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,41,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,42,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,43,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,44,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,45,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,46,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,47,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,48,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,49,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,50,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,51,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,52,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,53,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,54,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,55,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,56,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,57,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,58,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,59,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,60,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,61,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,62,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,63,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,64,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,65,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,66,0.8888888888888888,11.984375,22,0.10688145420554938
