interval,perturbation_density,recovery_beta,gamma,decay,structural_reachable,effective_reachable,accessible_fraction,effective_edges,structural_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency,mean_r,min_r,mean_D,max_D,regime
6,0.16666666666666666,0.041999999999999996,0.138,0.013999999999999999,144,128,0.8888888888888888,228,264,0.8636363636363636,12.02089940820726,48.826641247400005,0.10796596375939631,0.9053965745396059,0.0,0.06306842935372185,2.9026411179949374,strained
6,0.16666666666666666,0.048,0.132,0.016,144,135,0.9375,243,264,0.9204545454545454,11.737648341592338,43.65882153763272,0.10902701440980825,0.916286748438469,0.0,0.04984202459848929,2.2939133174267408,healthy
6,0.16666666666666666,0.054000000000000006,0.126,0.018000000000000002,144,135,0.9375,243,264,0.9204545454545454,11.357030861624038,33.026683908139354,0.11028970765916259,0.9304219321777184,0.0,0.039382121849184076,1.8125101158331391,healthy
6,0.16666666666666666,0.06,0.12,0.02,144,135,0.9375,243,264,0.9204545454545454,11.157225135580285,29.35477862710339,0.11138107767970097,0.9426761507548171,0.0,0.031111563941194638,1.4318686174085133,healthy
8,0.125,0.012,0.16799999999999998,0.004,144,128,0.8888888888888888,228,264,0.8636363636363636,13.128339826258626,64.1074393887086,0.10542830511169815,0.8888888888888888,0.0,0.20742522838496524,9.54647203029102,trapped
8,0.125,0.018000000000000002,0.16199999999999998,0.006000000000000001,144,128,0.8888888888888888,228,264,0.8636363636363636,13.119849553322675,64.03102693228503,0.1054810267495514,0.8888888888888888,0.0,0.16549219441132523,7.616559554882541,trapped
8,0.125,0.024,0.156,0.008,144,128,0.8888888888888888,228,264,0.8636363636363636,13.113024887667263,63.96960494138632,0.10552422940452227,0.8888888888888888,0.0,0.1320445526612813,6.077176043377471,fragile
8,0.125,0.030000000000000002,0.15,0.01,144,128,0.8888888888888888,228,264,0.8636363636363636,13.1075471722021,63.92030550219985,0.10555945303450326,0.8888888888888888,0.0,0.10536358409508911,4.8492197232064855,fragile
8,0.125,0.036000000000000004,0.144,0.012000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,12.648924640268433,56.914603897580506,0.10617700172607296,0.8923264001879817,0.0,0.08407899937447137,3.86962483837104,strained
8,0.125,0.041999999999999996,0.138,0.013999999999999999,144,128,0.8888888888888888,228,264,0.8636363636363636,12.068301494748185,49.363016582789896,0.10777016819729426,0.903707152096334,0.0,0.0670982537298041,3.0881084596138457,strained
8,0.125,0.048,0.132,0.016,144,135,0.9375,243,264,0.9204545454545454,11.8258799347438,46.04839250631909,0.10879609945304392,0.9140720626705937,0.0,0.0535502080488454,2.4645775604777986,healthy
8,0.125,0.054000000000000006,0.126,0.018000000000000002,144,135,0.9375,243,264,0.9204545454545454,11.411758989416414,34.47879139563383,0.11004668800944162,0.9275324938867308,0.0,0.0427402240586972,1.9670623323961027,healthy
8,0.125,0.06,0.12,0.02,144,135,0.9375,243,264,0.9204545454545454,11.205395298878395,29.98456202542691,0.11109925329563548,0.9400698088433264,0.0,0.034114372479166925,1.5700689122485851,healthy
10,0.1,0.012,0.16799999999999998,0.004,144,128,0.8888888888888888,228,264,0.8636363636363636,13.12903998375417,64.11374080616848,0.10542400692672713,0.8888888888888888,0.0,0.2108993483907972,9.706363812615571,trapped
10,0.1,0.018000000000000002,0.16199999999999998,0.006000000000000001,144,128,0.8888888888888888,228,264,0.8636363636363636,13.120713988515869,64.03880684902377,0.10547560753116461,0.8888888888888888,0.0,0.16974519563340568,7.812298315917107,trapped
10,0.1,0.024,0.156,0.008,144,128,0.8888888888888888,228,264,0.8636363636363636,13.113971907879302,63.97812812329466,0.10551818961037572,0.8888888888888888,0.0,0.13667219662963723,6.290157241730374,fragile
10,0.1,0.030000000000000002,0.15,0.01,144,128,0.8888888888888888,228,264,0.8636363636363636,13.10851844096843,63.92904692109681,0.10555317126240253,0.8888888888888888,0.0,0.1100837857541145,5.066460766960282,fragile
10,0.1,0.036000000000000004,0.144,0.012000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,12.776122068760928,58.70894501666547,0.10595577096590626,0.8911812172983535,0.0,0.08870063715220512,4.082329609737558,strained
10,0.1,0.041999999999999996,0.138,0.013999999999999999,144,128,0.8888888888888888,228,264,0.8636363636363636,12.124499579446217,50.01665264462447,0.10755413296985934,0.9019404224254615,0.0,0.0714973032864645,3.2905689022490225,strained
10,0.1,0.048,0.132,0.016,144,135,0.9375,243,264,0.9204545454545454,11.886241215731896,47.38556769649176,0.10859870763647027,0.912119034837516,0.0,0.0576515645765466,2.6533370748474048,healthy
10,0.1,0.054000000000000006,0.126,0.018000000000000002,144,135,0.9375,243,264,0.9204545454545454,11.481266044077769,36.37251478479815,0.10977648510005339,0.9245128683537485,0.0,0.04650393095745316,2.1402819687872157,healthy
10,0.1,0.06,0.12,0.02,144,135,0.9375,243,264,0.9204545454545454,11.262982415716342,30.794687540449413,0.11078182325943832,0.9371978741292443,0.0,0.037525252824844736,1.7270501727838283,healthy
12,0.08333333333333333,0.012,0.16799999999999998,0.004,144,128,0.8888888888888888,228,264,0.8636363636363636,13.129756896418773,64.1201930201499,0.1054196135950778,0.8888888888888888,0.0,0.2144591570469908,9.870199301838076,trapped
12,0.08333333333333333,0.018000000000000002,0.16199999999999998,0.006000000000000001,144,128,0.8888888888888888,228,264,0.8636363636363636,13.121610050135699,64.04687140360224,0.10547000245942652,0.8888888888888888,0.0,0.17415770969231714,8.015378444475449,trapped
12,0.08333333333333333,0.024,0.156,0.008,144,128,0.8888888888888888,228,264,0.8636363636363636,13.114965968233388,63.98707466648145,0.10551186545340184,0.8888888888888888,0.0,0.1415344397914935,6.513935557948444,fragile
12,0.08333333333333333,0.030000000000000002,0.15,0.01,144,128,0.8888888888888888,228,264,0.8636363636363636,13.109551066857493,63.93834055409839,0.10554650984761149,0.8888888888888888,0.0,0.11510721019174847,5.297657238399861,fragile
12,0.08333333333333333,0.036000000000000004,0.144,0.012000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,12.898908960044537,60.63549554894572,0.10579298657661113,0.8901921357102547,0.0,0.09368343502314708,4.311656297131914,strained
12,0.08333333333333333,0.041999999999999996,0.138,0.013999999999999999,144,128,0.8888888888888888,228,264,0.8636363636363636,12.191703327418765,50.82172434365138,0.10731676746900971,0.900110689915398,0.0,0.07630291523342295,3.5117408416378386,strained
12,0.08333333333333333,0.048,0.132,0.016,144,135,0.9375,243,264,0.9204545454545454,11.921412178581683,47.74765732694059,0.10842147728147733,0.9103209548233716,0.0,0.0621920597285032,2.86230736409004,healthy
12,0.08333333333333333,0.054000000000000006,0.126,0.018000000000000002,144,135,0.9375,243,264,0.9204545454545454,11.569305620232075,38.826280141372926,0.10948174060741003,0.9214174192366905,0.0,0.0507272083540542,2.3346527300332234,healthy
12,0.08333333333333333,0.06,0.12,0.02,144,135,0.9375,243,264,0.9204545454545454,11.311345441437318,31.85740411085369,0.11051647568622222,0.9340598551676726,0.0,0.04140523349147053,1.9056211556889027,healthy
16,0.0625,0.012,0.16799999999999998,0.004,144,128,0.8888888888888888,228,264,0.8636363636363636,13.131242734822933,64.13356556578735,0.1054105329290148,0.8888888888888888,0.0,0.22184527419011424,10.210135582821303,trapped
